1DT064, Distribuerade system, Distributed Systems, 5.0 hp
1DT641, Distribuerade system MN1, Distributed Systems MN1, 7.5 hp
1DT058, Distribuerade system med projekt, Distributed Systems with Project, 10.0 hp
1DT084, Distribuerade system med projekt, Distributed Systems with Project, 10.0 hp
1DT159, Distribuerade system, projekt DV1, Distributed Systems, Project DV1, 22.5 hp
1TS130, Dynamiska system, n/a, 7.5 hp
1DL350, Elektronisk handel - utvecklingsprojekt, E-commerce Project, 10.0 hp
1DL018, Elektronisk handel och säkerhet, Electronic Commerce and Security, 7.5 hp
1TS210, Elektronisk handel och säkerhet, Electronic Commerce and Security, 7.5 hp
1ET100, Empirisk modellering, Empirical Modeling, 7.5 hp
1RT890, Empirisk modellering, Empirical Modelling, 10.0 hp
1IT960, Examensarbete, Degree Project, 30.0 hp
1DT340, Examensarbete C i datavetenskap, Degree Project C in Computer Science, 15.0 hp
1DT440, Examensarbete D i datavetenskap, Degree Project D in Computer Science, 15.0 hp
1MD440, Examensarbete D i människa-datorinteraktion, Degree Project D in Human-Computer Interaction, 15.0 hp
1TD908, Examensarbete D i tillämpad beräkningsvetenskap, Degree Project D in Computational Science, 15.0 hp
1DT341, Examensarbete DV1, Undergraduate Thesis, 15.0 hp
2AD062, Examensarbete DV1, datalogi, Degree Project DV1, 15.0 hp
1DT144, Examensarbete DV1, datorteknik, Degree Project DV1, 15.0 hp
1TD904, Examensarbete DV1, teknisk databehandling, Degree Project DV1, Scientific Computing, 15.0 hp
1DT342, Examensarbete DV2, Undergraduate Thesis, 15.0 hp
2AD300, Examensarbete DV2, datalogi, Degree Project DV2, 15.0 hp
1DT149, Examensarbete DV2, datorteknik, Degree Project DV2, 15.0 hp
1TD905, Examensarbete DV2, teknisk databehandling, Degree Project DV2, Scientific Computing, 15.0 hp
1DT343, Examensarbete DV3, Undergraduate Thesis, 30.0 hp
2AD301, Examensarbete DV3, datalogi, Degree Project DV3, 30.0 hp
1DT150, Examensarbete DV3, datorteknik, Degree Project DV3, 30.0 hp
1TD906, Examensarbete DV3, teknisk databehandling, Degree Project DV3, Scientific Computing, 30.0 hp
1DT550, Examensarbete E i datavetenskap, Degree Project E in Computer Science, 45.0 hp
1DT540, Examensarbete E i datavetenskap, Degree Project E in Computer Science, 30.0 hp
1DT560, Examensarbete E i datavetenskap med inriktning mot parallellprogrammering, Degree Project E in Computer Science with Concurrent and Parallel Programming, 30.0 hp
1DT090, Examensarbete E i inbyggda system, Degree Project E in Embedded Systems, 45.0 hp
1MD024, Examensarbete E i människa-datorinteraktion, Degree Project E in Human-Computer Interaction, 30.0 hp
1TD708, Examensarbete E i tillämpad beräkningsvetenskap, Degree Project E in Computational Science, 45.0 hp
1TD808, Examensarbete E i tillämpad beräkningsvetenskap, Degree Project E in Computational Science, 30.0 hp
2AD911, Examensarbete MN1, datalogi, Degree Project MN1, 15.0 hp
1DT901, Examensarbete MN1, datorteknik, Degree Project MN1, 15.0 hp
1RT901, Examensarbete MN1, reglerteknik, Degree Project MN1, Systems Analysis, 15.0 hp
1TD901, Examensarbete MN1, teknisk databehandling, Degree Project MN1, Scientific Computing, 15.0 hp
2AD912, Examensarbete MN2, datalogi, Degree Project MN2, 15.0 hp
1DT902, Examensarbete MN2, datorteknik, Degree Project MN2, 15.0 hp
1RT902, Examensarbete MN2, reglerteknik, Degree Project MN2, Systems Analysis, 15.0 hp
1TD902, Examensarbete MN2, teknisk databehandling, Degree Project MN2, Scientific Computing, 15.0 hp
2AD913, Examensarbete MN3, datalogi, Degree Project MN3, 30.0 hp
1DT903, Examensarbete MN3, datorteknik, Degree Project MN3, 30.0 hp
1RT903, Examensarbete MN3, reglerteknik, Degree Project MN3, Systems Analysis, 30.0 hp
1TD903, Examensarbete MN3, teknisk databehandling, Degree Project MN3, Scientific Computing, 30.0 hp
1DT941, Examensarbete NV1, datavetenskap, Undergraduate thesis, 15.0 hp
1DT942, Examensarbete NV2, datavetenskap, Undergraduate thesis, 15.0 hp
1DT943, Examensarbete NV3, datavetenskap, Undergraduate thesis, 30.0 hp
1DT820, Examensarbete T, Degree Project T, 15.0 hp
